NOC,2016_Positive,2016_Negative,2017_Positive,2017_Negative,2018_Positive,2018_Negative,2019_Positive,2019_Negative,2020_Positive,2020_Negative,2021_Positive,2021_Negative,2022_Positive,2022_Negative,2023_Positive,2023_Negative
Alberta,565.0,51.0,548.0,53.0,623.0,16.0,569.0,4.0,510.0,0.0,601.0,27.0,615.0,0.0,813.0,0.0
British Columbia,144.0,28.0,143.0,12.0,260.0,0.0,198.0,3.0,217.0,1.0,197.0,0.0,162.0,0.0,245.0,0.0
Canada,40238.0,1530.0,44742.0,1044.0,50544.0,478.0,46750.0,223.0,44460.0,98.0,45069.0,66.0,48909.0,16.0,55552.0,10.0
Manitoba,39.0,0.0,41.0,0.0,19.0,0.0,24.0,2.0,23.0,0.0,4.0,0.0,34.0,0.0,22.0,0.0
New Brunswick,2.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,2.0,0.0,3.0,0.0,10.0,0.0
Newfoundland and Labrador,13.0,0.0,13.0,0.0,15.0,0.0,15.0,0.0,26.0,0.0,15.0,0.0,11.0,0.0,15.0,0.0
Notes:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nova Scotia,319.0,7.0,419.0,0.0,937.0,6.0,472.0,0.0,475.0,0.0,539.0,0.0,842.0,0.0,584.0,0.0
Ontario,281.0,18.0,336.0,0.0,365.0,0.0,287.0,0.0,309.0,0.0,398.0,4.0,378.0,0.0,417.0,0.0
Prince Edward Island,279.0,6.0,330.0,0.0,338.0,0.0,443.0,0.0,564.0,0.0,314.0,0.0,469.0,0.0,480.0,0.0
Quebec,22.0,0.0,6.0,0.0,22.0,0.0,22.0,0.0,25.0,0.0,27.0,0.0,41.0,0.0,14.0,0.0
Saskatchewan,23.0,0.0,28.0,0.0,35.0,5.0,29.0,0.0,29.0,0.0,31.0,0.0,35.0,0.0,46.0,0.0
